zip,registered_evs,station_count,l1_ports,l2_ports,dcfc_ports,land_sqmi,total_ports,evs_per_dcfc_port,evs_per_total_port,ev_density_per_sqmi
14543,48,3.0,0.0,8.0,0.0,25.142,8.0,,6.0,1.9091559939543394
14544,16,0.0,0.0,0.0,0.0,30.114,0.0,,,0.5313143388457195
14545,2,0.0,0.0,0.0,0.0,0.46,0.0,,,4.3478260869565215
14546,35,6.0,0.0,20.0,0.0,36.112,20.0,,1.75,0.9692069118298626
14547,1,0.0,0.0,0.0,0.0,,0.0,,,
14548,31,0.0,0.0,0.0,0.0,28.651,0.0,,,1.0819866671320373
14549,4,0.0,0.0,0.0,0.0,0.194,0.0,,,20.618556701030926
14550,4,1.0,0.0,2.0,0.0,21.674,2.0,,2.0,0.18455292054996772
14551,32,1.0,0.0,2.0,0.0,43.658,2.0,,16.0,0.7329699024233817
14555,25,1.0,0.0,2.0,0.0,2.891,2.0,,12.5,8.647526807333103
14559,221,5.0,0.0,8.0,6.0,43.732,14.0,36.833333333333336,15.785714285714286,5.053507728894174
14560,19,0.0,0.0,0.0,0.0,39.032,0.0,,,0.4867800778848125
14561,13,1.0,0.0,2.0,0.0,50.01,2.0,,6.5,0.2599480103979204
14563,1,0.0,0.0,0.0,0.0,,0.0,,,
14564,464,16.0,0.0,60.0,18.0,42.261,78.0,25.77777777777778,5.948717948717949,10.97938998130664
14568,60,0.0,0.0,0.0,0.0,24.466,0.0,,,2.452382898716586
14569,15,0.0,0.0,0.0,0.0,74.718,0.0,,,0.20075483819160042
14571,2,0.0,0.0,0.0,0.0,17.038,0.0,,,0.11738466956215518
14572,17,1.0,0.0,4.0,0.0,74.872,4.0,,4.25,0.22705417245432205
14580,894,29.0,0.0,57.0,10.0,42.649,67.0,89.4,13.343283582089553,20.96180449717461
14586,251,9.0,0.0,46.0,0.0,11.03,46.0,,5.456521739130435,22.75611967361741
14588,1,0.0,0.0,0.0,0.0,0.266,0.0,,,3.7593984962406015
14589,60,1.0,0.0,0.0,2.0,43.936,2.0,30.0,30.0,1.3656227239621268
14590,28,3.0,0.0,10.0,2.0,64.496,12.0,14.0,2.3333333333333335,0.4341354502604813
14591,6,0.0,0.0,0.0,0.0,34.851,0.0,,,0.17216148747525178
14592,1,0.0,0.0,0.0,0.0,0.563,0.0,,,1.7761989342806397
14603,1,0.0,0.0,0.0,0.0,,0.0,,,
14604,52,10.0,0.0,22.0,0.0,0.342,22.0,,2.3636363636363638,152.046783625731
14605,17,1.0,0.0,2.0,0.0,1.785,2.0,,8.5,9.523809523809524
14606,213,3.0,0.0,31.0,0.0,9.423,31.0,,6.870967741935484,22.604266157274754
14607,197,19.0,0.0,45.0,0.0,1.715,45.0,,4.377777777777778,114.86880466472303
14608,56,4.0,0.0,8.0,0.0,1.758,8.0,,7.0,31.85437997724687
14609,343,7.0,0.0,26.0,0.0,7.402,26.0,,13.192307692307692,46.33882734396109
14610,350,4.0,0.0,8.0,16.0,4.203,24.0,21.875,14.583333333333334,83.2738520104687
14611,42,5.0,0.0,10.0,0.0,2.93,10.0,,4.2,14.334470989761092
14612,406,6.0,0.0,10.0,8.0,17.218,18.0,50.75,22.555555555555557,23.57997444534789
14613,30,0.0,0.0,0.0,0.0,1.895,0.0,,,15.831134564643799
14614,22,9.0,0.0,20.0,0.0,0.221,20.0,,1.1,99.5475113122172
14615,105,5.0,0.0,29.0,4.0,5.949,33.0,26.25,3.1818181818181817,17.650025214321737
14616,222,5.0,0.0,12.0,0.0,5.872,12.0,,18.5,37.80653950953678
14617,304,19.0,0.0,32.0,0.0,7.916,32.0,,9.5,38.40323395654371
14618,610,15.0,0.0,44.0,6.0,9.593,50.0,101.66666666666667,12.2,63.58803294068592
14619,90,0.0,0.0,0.0,0.0,1.435,0.0,,,62.717770034843205
14620,304,14.0,0.0,38.0,0.0,4.436,38.0,,8.0,68.53020739404869
14621,73,9.0,0.0,20.0,0.0,4.06,20.0,,3.65,17.980295566502466
14622,124,0.0,0.0,0.0,0.0,4.437,0.0,,,27.946810908271353
14623,320,77.0,0.0,250.0,15.0,19.526,265.0,21.333333333333332,1.2075471698113207,16.38840520331865
14624,440,17.0,0.0,100.0,0.0,27.352,100.0,,4.4,16.086575021936238
